Commodities,Periods add,Instance,Gap,Time to solve,Iterations,Solved,Solved time,Reported \rho in paper
500,36,1,0.00447198,146,3,1,146,18
500,36,2,0.00862195,91,2,1,91,18
500,36,3,0.00898962,149,3,1,149,18
500,36,4,0.0096937,121,2,1,121,18
500,36,5,0.00985114,216,4,1,216,18
500,48,1,0.00788327,369,5,1,369,24
500,48,2,0.00718487,1300,6,1,1300,24
500,48,3,0.00996322,1833,7,1,1833,24
500,48,4,0.00944708,1116,5,1,1116,24
500,48,5,0.0143419,7095,7,0,0,24
500,60,1,0.00855686,874,4,1,874,30
500,60,2,0.010207,6818,12,0,0,30
500,60,3,0.00824242,277,4,1,277,30
500,60,4,0.0140003,2715,9,0,0,30
500,60,5,0.00985774,337,3,1,337,30
500,72,1,0.00802453,140,2,1,140,36
500,72,2,0.00999828,3882,8,1,3882,36
500,72,3,0.00818973,102,2,1,102,36
500,72,4,0.00951138,198,2,1,198,36
500,72,5,0.00990758,505,3,1,505,36
500,84,1,0.00881236,156,2,1,156,42
500,84,2,0.00918274,317,2,1,317,42
500,84,3,0.00625855,390,2,1,390,42
500,84,4,0.00563925,4212,7,1,4212,42
500,84,5,0.00770516,7208,5,1,7208,42
500,96,1,0.0038905,284,2,1,284,48
500,96,2,0.00998911,1711,3,1,1711,48
500,96,3,0.0076583,1611,4,1,1611,48
500,96,4,0.0066977,461,3,1,461,48
500,96,5,0.00184395,364,2,1,364,48
550,12,1,0.00287775,120,3,1,120,6
550,12,2,0.00815783,125,3,1,125,6
550,12,3,0.00863122,148,3,1,148,6
550,12,4,0.00756379,169,4,1,169,6
550,12,5,0.00602845,172,4,1,172,6
550,24,1,0.00113008,80,2,1,80,12
550,24,2,0.00667314,90,2,1,90,12
550,24,3,0.00790876,190,4,1,190,12
550,24,4,0.00892469,92,2,1,92,12
550,24,5,0.00709125,90,2,1,90,12
550,36,1,0.00743399,195,3,1,195,18
550,36,2,0.00814846,187,3,1,187,18
550,36,3,0.00706336,110,2,1,110,18
550,36,4,0.00708824,282,4,1,282,18
550,36,5,0.00924598,272,4,1,272,18
550,48,1,0.00894769,707,3,1,707,24
550,48,2,0.0164144,7149,5,0,0,24
550,48,3,0.00998171,4718,7,1,4718,24
550,48,4,0.00993702,1481,7,1,1481,24
550,48,5,0.00994547,4216,6,1,4216,24
550,60,1,0.00990011,663,3,1,663,30
550,60,2,0.0106475,6862,6,0,0,30
550,60,3,0.00820323,1251,5,1,1251,30
550,60,4,0.0102819,7146,5,0,0,30
550,60,5,0.0108092,7062,8,0,0,30
550,72,1,0.0099975,4989,4,1,4989,36
550,72,2,0.00910531,2240,5,1,2240,36
550,72,3,0.00985584,1514,4,1,1514,36
550,72,4,0.00992334,297,2,1,297,36
550,72,5,0.0100586,7122,6,0,0,36
550,84,1,0.00941319,224,2,1,224,42
550,84,2,0.00852878,1303,4,1,1303,42
550,84,3,0.00800428,5204,4,1,5204,42
550,84,4,0.00991972,1162,4,1,1162,42
550,84,5,0.0118283,7176,6,0,0,42
550,96,1,0.00610433,175,2,1,175,48
550,96,2,0.0081332,1018,3,1,1018,48
550,96,3,0,813,3,1,813,48
550,96,4,0.00786405,505,3,1,505,48
550,96,5,0.00988172,449,2,1,449,48
600,12,1,0.00651778,256,4,1,256,6
600,12,2,0.00754536,210,3,1,210,6
600,12,3,0.00709326,272,4,1,272,6
600,12,4,0.00898385,374,5,1,374,6
600,12,5,0.00775153,273,4,1,273,6
600,24,1,0.00731607,126,2,1,126,12
600,24,2,0.00359083,145,2,1,145,12
600,24,3,0.00733469,141,2,1,141,12
600,24,4,0.00937061,425,6,1,425,12
600,24,5,0.0065494,197,3,1,197,12
600,36,1,0.00863472,299,3,1,299,18
600,36,2,0.0081046,257,3,1,257,18
600,36,3,0.00930561,335,4,1,335,18
600,36,4,0.00931956,242,3,1,242,18
600,36,5,0.0093387,156,2,1,156,18
600,48,1,0.00988268,593,3,1,593,24
600,48,2,0.00938667,2290,6,1,2290,24
600,48,3,0.0149995,7045,8,0,0,24
600,48,4,0.0107572,6796,4,0,0,24
600,48,5,0.0197953,7026,5,0,0,24
600,60,1,0.00918379,1321,4,1,1321,30
600,60,2,0.0219235,6805,6,0,0,30
600,60,3,0.0186257,6608,10,0,0,30
600,60,4,0.0142467,6651,6,0,0,30
600,60,5,0.0163035,2487,7,0,0,30
600,72,1,0.00887627,600,2,1,600,36
600,72,2,0.0085179,983,3,1,983,36
600,72,3,0.009998,5151,2,1,5151,36
600,72,4,0.00656794,232,2,1,232,36
600,72,5,0.00999929,5048,4,1,5048,36
600,84,1,0.00776707,460,2,1,460,42
600,84,2,0.00889133,465,2,1,465,42
600,84,3,0.00673609,903,3,1,903,42
600,84,4,0.0205011,7770,4,0,0,42
600,84,5,0.00938505,4772,4,1,4772,42
600,96,1,0.0240236,2028,6,0,0,48
600,96,2,0.00572559,533,3,1,533,48
600,96,3,0.00929343,1328,5,1,1328,48
600,96,4,0.00702172,402,2,1,402,48
600,96,5,0.0135022,1743,6,0,0,48
650,12,1,0.00894205,230,4,1,230,6
650,12,2,0.0071674,355,5,1,355,6
650,12,3,0.00693945,368,6,1,368,6
650,12,4,0.00894878,564,9,1,564,6
650,12,5,0.0072487,446,6,1,446,6
650,24,1,0.00653197,115,2,1,115,12
650,24,2,0.00388568,140,2,1,140,12
650,24,3,0.00869748,116,2,1,116,12
650,24,4,0.00820516,263,4,1,263,12
650,24,5,0.00768733,134,2,1,134,12
650,36,1,0.0055671,133,2,1,133,18
650,36,2,0.00810379,387,4,1,387,18
650,36,3,0.00586035,233,3,1,233,18
650,36,4,0.00901301,693,4,1,693,18
650,36,5,0.00615171,786,6,1,786,18
650,48,1,0.0150715,2323,6,0,0,24
650,48,2,0.0246188,3272,7,0,0,24
650,48,3,0.0154802,6059,9,0,0,24
650,48,4,0.0260105,2817,6,0,0,24
650,48,5,0.0253948,6556,8,0,0,24
650,60,1,0.0125299,1299,4,0,0,30
650,60,2,0.0191837,6436,8,0,0,30
650,60,3,0.0313392,3107,7,0,0,30
650,60,4,0.0157298,6700,4,0,0,30
650,60,5,0.0212815,1389,4,0,0,30
650,72,1,0.00939883,981,2,1,981,36
650,72,2,0.0119755,6725,4,0,0,36
650,72,3,0.00814209,943,3,1,943,36
650,72,4,0.00998598,3262,4,1,3262,36
650,72,5,0.00751677,509,2,1,509,36
650,84,1,0.00974866,1315,3,1,1315,42
650,84,2,0.00977466,462,2,1,462,42
650,84,3,0.0224482,2411,5,0,0,42
650,84,4,0.013448,5258,6,0,0,42
650,84,5,0.0112554,6789,3,0,0,42
650,96,1,0.00925145,883,3,1,883,48
650,96,2,0.01414,2106,5,0,0,48
650,96,3,0.0144159,1718,5,0,0,48
650,96,4,0.0128138,6773,5,0,0,48
650,96,5,0.0185731,2367,5,0,0,48
700,12,1,0.00923355,275,4,1,275,6
700,12,2,0.00951829,345,4,1,345,6
700,12,3,0.00864715,366,5,1,366,6
700,12,4,0.00981349,732,9,1,732,6
700,12,5,0.00801417,580,7,1,580,6
700,24,1,0.00209268,214,3,1,214,12
700,24,2,0.00943186,255,3,1,255,12
700,24,3,0.00939627,374,4,1,374,12
700,24,4,0.00875249,219,3,1,219,12
700,24,5,0.00782829,152,2,1,152,12
700,36,1,0.00821064,405,3,1,405,18
700,36,2,0.00914501,314,3,1,314,18
700,36,3,0.00987738,1346,6,1,1346,18
700,36,4,0.00925349,733,4,1,733,18
700,36,5,0.00899249,827,5,1,827,18
700,48,1,0.0337101,1653,4,0,0,24
700,48,2,0.0307916,2381,6,0,0,24
700,48,3,0.0349257,3314,6,0,0,24
700,48,4,0.0357173,2140,5,0,0,24
700,48,5,0.0262693,4956,8,0,0,24
700,60,1,0.0167111,1350,3,0,0,30
700,60,2,0.0201708,3782,9,0,0,30
700,60,3,0.0349211,2582,6,0,0,30
700,60,4,0.0244464,2934,7,0,0,30
700,60,5,0.023092,1078,3,0,0,30
700,72,1,0.0111627,1686,3,0,0,36
700,72,2,0.0171146,1017,3,0,0,36
700,72,3,0.0157166,574,2,0,0,36
700,72,4,0.0220846,988,3,0,0,36
700,72,5,0.0148292,1691,4,0,0,36
700,84,1,0.0175293,1516,4,0,0,42
700,84,2,0.01411,1780,3,0,0,42
700,84,3,0.0224065,1629,4,0,0,42
700,84,4,0.016333,1439,4,0,0,42
700,84,5,0.0107268,5036,3,0,0,42
700,96,1,0.00823628,1025,3,1,1025,48
700,96,2,0.0124184,3312,7,0,0,48
700,96,3,0.0103841,4067,7,0,0,48
700,96,4,0.00398218,707,2,1,707,48
700,96,5,0.00557541,667,2,1,667,48
750,12,1,0.00551283,301,4,1,301,6
750,12,2,0.00760177,424,5,1,424,6
750,12,3,0.00761304,339,4,1,339,6
750,12,4,0.00803594,324,4,1,324,6
750,12,5,0.00687267,322,4,1,322,6
750,24,1,0.00980383,497,5,1,497,12
750,24,2,0.00687508,312,3,1,312,12
750,24,3,0.00571892,181,2,1,181,12
750,24,4,0.0093035,248,3,1,248,12
750,24,5,0.00772933,277,3,1,277,12
750,36,1,0.0087086,185,2,1,185,18
750,36,2,0.00953998,1197,5,1,1197,18
750,36,3,0.00999814,1528,5,1,1528,18
750,36,4,0.00982238,284,3,1,284,18
750,36,5,0.00917188,923,3,1,923,18
750,48,1,0.0257515,1717,4,0,0,24
750,48,2,0.0383273,2347,5,0,0,24
750,48,3,0.0354488,2378,5,0,0,24
750,48,4,0.0332938,4446,9,0,0,24
750,48,5,0.0568212,960,3,0,0,24
750,60,1,0.0256046,1326,3,0,0,30
750,60,2,0.0370537,1824,4,0,0,30
750,60,3,0.0408298,2667,5,0,0,30
750,60,4,0.0250706,3578,7,0,0,30
750,60,5,0.0260709,2192,4,0,0,30
750,72,1,0.00998993,6141,3,1,6141,36
750,72,2,0.014099,7160,5,0,0,36
750,72,3,0.0205023,606,2,0,0,36
750,72,4,0.0175221,6532,6,0,0,36
750,72,5,0.0133106,1810,3,0,0,36
750,84,1,0.0170521,1306,3,0,0,42
750,84,2,0.0188988,6654,6,0,0,42
750,84,3,0.0314205,5551,5,0,0,42
750,84,4,0.0195436,1832,3,0,0,42
750,84,5,0.0288592,3169,6,0,0,42
750,96,1,0.00977618,5228,7,1,5228,48
750,96,2,0.00841384,856,2,1,856,48
750,96,3,0.0140627,6536,7,0,0,48
750,96,4,0.0119097,1894,4,0,0,48
750,96,5,0.0110198,1048,3,0,0,48
